,prov,depto,id_depto,pobl_jardin,pobl_primaria,pobl_secundaria
0,CABA,CABA,2000,123810.0,268495.0,171422.0
1,Buenos Aires,Adolfo Alsina,6007,1022.0,1967.0,1228.0
2,Buenos Aires,Adolfo Gonzales Chaves,6014,784.0,1567.0,987.0
3,Buenos Aires,Alberti,6021,744.0,1538.0,1010.0
4,Buenos Aires,Almirante Brown,6028,34995.0,76680.0,48665.0
5,Buenos Aires,Avellaneda,6035,18158.0,41708.0,26833.0
6,Buenos Aires,Ayacucho,6042,1330.0,2811.0,1826.0
7,Buenos Aires,Azul,6049,4357.0,9252.0,5913.0
8,Buenos Aires,Bahía Blanca,6056,18217.0,38348.0,23373.0
9,Buenos Aires,Balcarce,6063,2960.0,5748.0,3551.0
10,Buenos Aires,Baradero,6070,2578.0,5019.0,3197.0
11,Buenos Aires,Arrecifes,6077,2151.0,4035.0,2476.0
12,Buenos Aires,Benito Juárez,6084,1286.0,2599.0,1706.0
13,Buenos Aires,Berazategui,6091,20664.0,46604.0,29661.0
14,Buenos Aires,Berisso,6098,6249.0,13234.0,8106.0
15,Buenos Aires,Bolívar,6105,2298.0,4389.0,2723.0
16,Buenos Aires,Bragado,6112,2723.0,5444.0,3579.0
17,Buenos Aires,Brandsen,6119,2067.0,4518.0,2931.0
18,Buenos Aires,Campana,6126,6475.0,14232.0,9056.0
19,Buenos Aires,Cañuelas,6134,4957.0,10806.0,6304.0
20,Buenos Aires,Capitán Sarmiento,6140,937.0,1956.0,1230.0
21,Buenos Aires,Carlos Casares,6147,1385.0,2837.0,1796.0
22,Buenos Aires,Carlos Tejedor,6154,879.0,1785.0,1056.0
23,Buenos Aires,Carmen de Areco,6161,1175.0,2195.0,1436.0
24,Buenos Aires,Castelli,6168,624.0,1149.0,746.0
25,Buenos Aires,Colón,6175,1661.0,3204.0,2149.0
26,Buenos Aires,Coronel de Marina Leonardo Rosales,6182,3759.0,8299.0,5357.0
27,Buenos Aires,Coronel Dorrego,6189,925.0,1815.0,1230.0
28,Buenos Aires,Coronel Pringles,6196,1513.0,3168.0,1820.0
29,Buenos Aires,Coronel Suárez,6203,2340.0,4959.0,3004.0
30,Buenos Aires,Chacabuco,6210,2867.0,5995.0,4011.0
31,Buenos Aires,Chascomús,6218,2529.0,5614.0,3596.0
32,Buenos Aires,Chivilcoy,6224,3989.0,8098.0,5438.0
33,Buenos Aires,Daireaux,6231,1131.0,2250.0,1545.0
34,Buenos Aires,Dolores,6238,2075.0,3863.0,2537.0
35,Buenos Aires,Ensenada,6245,3901.0,8792.0,5509.0
36,Buenos Aires,Escobar,6252,17586.0,36297.0,21525.0
37,Buenos Aires,Esteban Echeverría,6260,22305.0,46477.0,28521.0
38,Buenos Aires,Exaltación de la Cruz,6266,2755.0,5589.0,3218.0
39,Buenos Aires,Ezeiza,6270,13759.0,29011.0,17602.0
40,Buenos Aires,Florencio Varela,6274,36171.0,72947.0,43778.0
41,Buenos Aires,Florentino Ameghino,6277,726.0,1425.0,950.0
42,Buenos Aires,General Alvarado,6280,2903.0,5489.0,3492.0
43,Buenos Aires,General Alvear,6287,620.0,1275.0,762.0
44,Buenos Aires,General Arenales,6294,977.0,1770.0,1157.0
45,Buenos Aires,General Belgrano,6301,1322.0,2568.0,1591.0
46,Buenos Aires,General Guido,6308,190.0,384.0,269.0
47,Buenos Aires,General Juan Madariaga,6315,1229.0,2956.0,1997.0
48,Buenos Aires,General La Madrid,6322,713.0,1416.0,830.0
49,Buenos Aires,General Las Heras,6329,1179.0,2341.0,1530.0
50,Buenos Aires,General Lavalle,6336,331.0,724.0,436.0
51,Buenos Aires,General Paz,6343,879.0,1921.0,1178.0
52,Buenos Aires,General Pinto,6351,925.0,1500.0,976.0
53,Buenos Aires,General Pueyrredón,6357,33210.0,70782.0,47412.0
54,Buenos Aires,General Rodríguez,6364,11413.0,23694.0,13235.0
55,Buenos Aires,General San Martín,6371,22398.0,50179.0,32905.0
56,Buenos Aires,General Viamonte,6385,1447.0,2892.0,1677.0
57,Buenos Aires,General Villegas,6392,2288.0,4515.0,2911.0
58,Buenos Aires,Guaminí,6399,660.0,1351.0,872.0
59,Buenos Aires,Hipólito Yrigoyen,6406,632.0,1267.0,817.0
60,Buenos Aires,Hurlingham,6408,9251.0,21235.0,13912.0
61,Buenos Aires,Ituzaingó,6410,8445.0,19954.0,13340.0
62,Buenos Aires,José C. Paz,6412,23872.0,48041.0,28541.0
63,Buenos Aires,Junín,6413,6122.0,11854.0,7346.0
64,Buenos Aires,La Costa,6420,5980.0,12839.0,8447.0
65,Buenos Aires,La Matanza,6427,126909.0,255997.0,151594.0
66,Buenos Aires,Lanús,6434,22362.0,50277.0,33067.0
67,Buenos Aires,La Plata,6441,41904.0,88169.0,54517.0
68,Buenos Aires,Laprida,6448,687.0,1580.0,997.0
69,Buenos Aires,Las Flores,6455,1593.0,3160.0,2104.0
70,Buenos Aires,Leandro N. Alem,6462,1137.0,2062.0,1419.0
71,Buenos Aires,Lezama,6466,342.0,740.0,471.0
72,Buenos Aires,Lincoln,6469,2869.0,5285.0,3498.0
73,Buenos Aires,Lobería,6476,1070.0,2097.0,1387.0
74,Buenos Aires,Lobos,6483,2640.0,5322.0,3370.0
75,Buenos Aires,Lomas de Zamora,6490,40840.0,86952.0,54431.0
76,Buenos Aires,Luján,6497,6747.0,13946.0,8627.0
77,Buenos Aires,Magdalena,6505,1593.0,3110.0,1883.0
78,Buenos Aires,Maipú,6511,716.0,1379.0,844.0
79,Buenos Aires,Malvinas Argentinas,6515,20784.0,45478.0,29110.0
80,Buenos Aires,Mar Chiquita,6518,2010.0,4131.0,2553.0
81,Buenos Aires,Marcos Paz,6525,4759.0,9691.0,6071.0
82,Buenos Aires,Mercedes,6532,4387.0,8952.0,5579.0
83,Buenos Aires,Merlo,6539,38450.0,81098.0,49991.0
84,Buenos Aires,Monte,6547,1519.0,3434.0,2006.0
