,id_ee,id_depto,jardin,primario,secundario
0,20000100,2000.0,1,1,1
1,20000200,2000.0,0,1,0
2,20000300,2000.0,1,1,0
3,20000500,2000.0,1,1,1
4,20000700,2000.0,1,1,1
5,20000800,2000.0,0,1,0
6,20000900,2000.0,0,1,0
7,20001000,2000.0,0,1,0
8,20001100,2000.0,0,1,0
9,20001200,2000.0,0,1,0
10,20001700,2000.0,1,1,0
11,20001800,2000.0,0,1,0
12,20002200,2000.0,0,1,0
13,20002300,2000.0,0,1,0
14,20002400,2000.0,0,1,0
15,20002500,2000.0,0,1,0
16,20002600,2000.0,0,0,0
17,20002700,2000.0,1,0,0
18,20002800,2000.0,1,1,0
19,20002900,2000.0,1,1,0
20,20003100,2000.0,1,1,1
21,20003300,2000.0,1,1,0
22,20003400,2000.0,1,1,0
23,20003500,2000.0,1,0,0
24,20003700,2000.0,1,0,0
25,20003701,2000.0,1,0,0
26,20003703,2000.0,1,0,0
27,20003800,2000.0,0,1,0
28,20003900,2000.0,0,1,0
29,20004000,2000.0,0,1,0
30,20004100,2000.0,0,1,0
31,20004200,2000.0,0,1,0
32,20004300,2000.0,0,1,0
33,20004400,2000.0,1,0,0
34,20004600,2000.0,0,1,0
35,20004700,2000.0,1,1,0
36,20004800,2000.0,0,1,0
37,20004900,2000.0,1,1,0
38,20005000,2000.0,0,1,0
39,20005100,2000.0,0,1,0
40,20005300,2000.0,0,1,0
41,20005400,2000.0,1,1,0
42,20005500,2000.0,1,0,0
43,20005600,2000.0,0,1,0
44,20005800,2000.0,0,0,1
45,20005801,2000.0,0,1,1
46,20006300,2000.0,0,1,0
47,20006500,2000.0,1,1,0
48,20007100,2000.0,0,1,0
49,20007200,2000.0,1,1,0
50,20007300,2000.0,0,1,0
51,20007500,2000.0,1,0,0
52,20007501,2000.0,1,0,0
53,20007502,2000.0,1,0,0
54,20007600,2000.0,1,0,0
55,20007700,2000.0,0,1,0
56,20007800,2000.0,0,0,1
57,20007900,2000.0,0,0,1
58,20008200,2000.0,1,1,0
59,20008300,2000.0,1,1,1
60,20008400,2000.0,1,0,0
61,20008500,2000.0,0,1,0
62,20008600,2000.0,0,1,0
63,20008700,2000.0,1,1,0
64,20008900,2000.0,0,1,0
65,20009000,2000.0,0,1,0
66,20009100,2000.0,1,1,1
67,20009500,2000.0,1,1,1
68,20009700,2000.0,1,0,0
69,20009800,2000.0,1,1,1
70,20009900,2000.0,1,1,0
71,20010000,2000.0,1,1,1
72,20010200,2000.0,1,1,1
73,20010300,2000.0,0,1,0
74,20010400,2000.0,1,1,0
75,20011000,2000.0,0,1,0
76,20011100,2000.0,0,1,0
77,20011200,2000.0,0,1,0
78,20011300,2000.0,0,1,0
79,20011400,2000.0,1,1,0
80,20011500,2000.0,1,1,1
81,20011600,2000.0,1,1,1
82,20011700,2000.0,1,0,0
83,20011800,2000.0,1,1,1
84,20012000,2000.0,0,1,0
85,20012100,2000.0,0,1,0
86,20012300,2000.0,1,1,1
87,20012301,2000.0,0,0,1
88,20012500,2000.0,0,1,0
89,20012600,2000.0,1,1,1
90,20012700,2000.0,1,1,1
91,20012800,2000.0,0,1,0
92,20012900,2000.0,0,0,1
93,20013000,2000.0,0,1,0
94,20013500,2000.0,0,1,0
95,20013600,2000.0,0,1,0
96,20013800,2000.0,1,1,1
97,20013900,2000.0,0,1,0
98,20014000,2000.0,0,1,0
99,20014100,2000.0,0,1,0
100,20014200,2000.0,1,1,1
101,20014300,2000.0,0,0,1
102,20014400,2000.0,1,0,0
103,20014500,2000.0,0,0,1
104,20014600,2000.0,1,1,0
105,20015000,2000.0,1,1,1
106,20015200,2000.0,0,0,1
107,20015300,2000.0,0,1,0
108,20015400,2000.0,0,1,0
109,20015500,2000.0,1,0,0
110,20015700,2000.0,1,1,0
111,20015800,2000.0,1,0,0
112,20015801,2000.0,1,0,0
113,20015900,2000.0,0,0,1
114,20016000,2000.0,0,1,0
115,20016100,2000.0,0,1,0
116,20016300,2000.0,0,0,1
117,20016500,2000.0,0,1,0
118,20016600,2000.0,0,1,0
119,20016700,2000.0,0,1,0
120,20016800,2000.0,1,1,0
121,20016900,2000.0,0,1,0
122,20017000,2000.0,1,0,0
123,20017400,2000.0,1,1,1
124,20017500,2000.0,0,0,0
125,20017700,2000.0,1,0,0
126,20017701,2000.0,1,0,0
127,20017702,2000.0,1,0,0
128,20017800,2000.0,1,1,1
129,20018100,2000.0,0,1,0
130,20018400,2000.0,0,1,0
131,20018500,2000.0,0,1,0
132,20018600,2000.0,0,1,0
133,20018700,2000.0,1,0,0
134,20018701,2000.0,1,0,0
135,20018702,2000.0,1,0,0
136,20018800,2000.0,1,0,0
137,20018900,2000.0,0,1,0
138,20019000,2000.0,1,1,1
139,20019200,2000.0,0,0,1
140,20019300,2000.0,0,1,0
141,20019400,2000.0,1,1,0
142,20019600,2000.0,0,1,0
143,20019800,2000.0,1,1,1
144,20019900,2000.0,1,1,1
145,20020100,2000.0,1,1,1
146,20020200,2000.0,0,1,0
147,20020300,2000.0,1,1,1
148,20020600,2000.0,1,1,0
149,20020700,2000.0,0,1,0
150,20020800,2000.0,0,1,0
151,20020900,2000.0,1,1,1
152,20021200,2000.0,1,0,0
153,20021300,2000.0,0,1,0
154,20021400,2000.0,0,1,0
155,20021500,2000.0,0,1,0
156,20021600,2000.0,0,1,0
157,20021700,2000.0,1,1,1
158,20021800,2000.0,1,1,1
159,20021900,2000.0,0,1,0
160,20022000,2000.0,1,0,0
161,20022001,2000.0,1,0,0
162,20022002,2000.0,1,0,0
163,20022003,2000.0,1,0,0
164,20022100,2000.0,0,1,0
165,20022300,2000.0,1,1,1
166,20022400,2000.0,1,1,0
167,20022500,2000.0,1,1,0
168,20023000,2000.0,0,1,0
169,20023100,2000.0,1,1,1
170,20023200,2000.0,0,0,0
171,20023300,2000.0,0,0,0
172,20023400,2000.0,1,1,0
173,20023500,2000.0,0,0,1
174,20023600,2000.0,0,1,0
175,20023700,2000.0,0,1,0
176,20023900,2000.0,1,0,0
177,20023901,2000.0,1,0,0
178,20024000,2000.0,0,0,0
179,20024800,2000.0,1,1,1
180,20024900,2000.0,1,0,0
181,20024902,2000.0,1,0,0
182,20024903,2000.0,1,0,0
183,20025000,2000.0,0,1,0
184,20025100,2000.0,0,1,0
185,20025300,2000.0,1,1,1
186,20025400,2000.0,1,1,0
187,20025500,2000.0,1,0,0
188,20025600,2000.0,0,0,0
189,20026400,2000.0,1,1,1
190,20026800,2000.0,0,1,0
191,20027300,2000.0,0,0,0
192,20027400,2000.0,1,0,0
193,20027500,2000.0,1,0,0
194,20027600,2000.0,1,1,1
195,20027800,2000.0,1,0,0
196,20027804,2000.0,1,0,0
197,20027900,2000.0,0,1,0
198,20028100,2000.0,0,1,0
199,20028300,2000.0,0,0,0
200,20028500,2000.0,0,0,1
201,20028600,2000.0,0,0,1
202,20028700,2000.0,1,1,1
203,20028900,2000.0,0,1,0
204,20029000,2000.0,1,0,0
205,20029001,2000.0,1,0,0
206,20029002,2000.0,1,0,0
207,20029300,2000.0,1,1,1
208,20029400,2000.0,1,0,0
209,20029401,2000.0,1,0,0
210,20029500,2000.0,1,1,1
211,20029600,2000.0,0,1,0
212,20029700,2000.0,0,1,0
213,20029800,2000.0,0,1,0
214,20029900,2000.0,0,0,1
215,20030200,2000.0,0,1,0
216,20030300,2000.0,1,1,0
217,20030400,2000.0,0,1,0
218,20030500,2000.0,0,1,0
219,20030700,2000.0,1,1,1
220,20030900,2000.0,1,0,0
221,20030902,2000.0,1,0,0
222,20031100,2000.0,0,1,0
223,20031700,2000.0,0,0,1
224,20031900,2000.0,0,1,0
225,20032400,2000.0,0,1,0
226,20032500,2000.0,0,1,0
227,20032800,2000.0,0,1,0
228,20032900,2000.0,0,1,0
229,20033000,2000.0,0,1,0
230,20033100,2000.0,1,1,0
231,20033300,2000.0,0,1,0
232,20033400,2000.0,1,1,0
233,20033500,2000.0,1,1,0
234,20033600,2000.0,1,0,0
235,20033601,2000.0,1,0,0
236,20033602,2000.0,1,0,0
237,20034100,2000.0,0,1,0
238,20034200,2000.0,1,0,0
239,20034400,2000.0,1,0,0
240,20034401,2000.0,1,0,0
241,20034402,2000.0,1,0,0
242,20034403,2000.0,1,0,0
243,20034900,2000.0,0,1,0
244,20035000,2000.0,0,0,1
245,20035100,2000.0,0,1,0
246,20035200,2000.0,0,1,0
247,20035300,2000.0,1,0,0
248,20035400,2000.0,1,1,1
249,20035500,2000.0,1,1,0
250,20035600,2000.0,0,0,0
251,20035800,2000.0,0,1,0
252,20036100,2000.0,0,0,0
253,20036200,2000.0,0,1,0
254,20036300,2000.0,0,1,0
255,20036400,2000.0,0,0,1
256,20036600,2000.0,0,0,0
257,20036601,2000.0,0,0,0
258,20036800,2000.0,1,1,0
259,20037000,2000.0,0,1,0
260,20037200,2000.0,0,0,0
261,20037900,2000.0,1,0,0
262,20038000,2000.0,0,1,0
263,20038100,2000.0,1,0,0
264,20038200,2000.0,1,0,0
265,20038300,2000.0,0,0,1
266,20038600,2000.0,0,1,0
267,20038700,2000.0,1,1,1
268,20039800,2000.0,1,1,0
269,20039900,2000.0,0,1,0
270,20040000,2000.0,0,1,0
271,20040100,2000.0,0,0,1
272,20040200,2000.0,1,1,1
273,20040300,2000.0,1,1,0
274,20040400,2000.0,0,1,0
275,20040700,2000.0,1,1,1
276,20041000,2000.0,0,1,0
277,20041100,2000.0,1,1,1
278,20041200,2000.0,1,1,0
279,20041300,2000.0,0,1,0
280,20041400,2000.0,0,0,1
281,20041500,2000.0,1,1,1
282,20041700,2000.0,0,1,0
283,20041800,2000.0,0,1,0
284,20041900,2000.0,0,1,0
285,20042000,2000.0,1,1,1
286,20042100,2000.0,0,1,0
287,20042200,2000.0,1,1,1
288,20042400,2000.0,0,0,0
289,20042500,2000.0,1,1,0
290,20042600,2000.0,1,0,0
291,20042700,2000.0,1,0,0
292,20042800,2000.0,1,1,1
293,20043300,2000.0,0,1,0
294,20043700,2000.0,1,1,0
295,20043800,2000.0,0,1,0
296,20043900,2000.0,1,0,0
297,20044000,2000.0,1,1,0
298,20044100,2000.0,0,1,0
299,20044200,2000.0,1,0,0
300,20044400,2000.0,1,0,0
301,20044401,2000.0,1,0,0
302,20044402,2000.0,1,0,0
303,20044600,2000.0,1,1,0
304,20044700,2000.0,0,1,0
305,20045100,2000.0,0,0,0
306,20045500,2000.0,1,1,0
307,20045600,2000.0,1,1,0
308,20045700,2000.0,1,1,0
309,20045800,2000.0,0,0,0
310,20046000,2000.0,0,0,1
