,pobl_jardin,pobl_primaria,pobl_secundaria,pobl_total
0,123810.0,268495.0,171422.0,3095454.0
1,1022.0,1967.0,1228.0,17344.0
2,784.0,1567.0,987.0,12847.0
3,744.0,1538.0,1010.0,12906.0
4,34995.0,76680.0,48665.0,583209.0
5,18158.0,41708.0,26833.0,366117.0
6,1330.0,2811.0,1826.0,21757.0
7,4357.0,9252.0,5913.0,75152.0
8,18217.0,38348.0,23373.0,334505.0
9,2960.0,5748.0,3551.0,48516.0
10,2578.0,5019.0,3197.0,39223.0
11,2151.0,4035.0,2476.0,32077.0
12,1286.0,2599.0,1706.0,21185.0
13,20664.0,46604.0,29661.0,358328.0
14,6249.0,13234.0,8106.0,100685.0
15,2298.0,4389.0,2723.0,37194.0
16,2723.0,5444.0,3579.0,46227.0
17,2067.0,4518.0,2931.0,32350.0
18,6475.0,14232.0,9056.0,107976.0
19,4957.0,10806.0,6304.0,70542.0
20,937.0,1956.0,1230.0,15882.0
21,1385.0,2837.0,1796.0,22905.0
22,879.0,1785.0,1056.0,14007.0
23,1175.0,2195.0,1436.0,17345.0
24,624.0,1149.0,746.0,9551.0
25,1661.0,3204.0,2149.0,27406.0
26,3759.0,8299.0,5357.0,65823.0
27,925.0,1815.0,1230.0,15795.0
28,1513.0,3168.0,1820.0,24110.0
29,2340.0,4959.0,3004.0,41713.0
30,2867.0,5995.0,4011.0,52409.0
31,2529.0,5614.0,3596.0,42191.0
32,3989.0,8098.0,5438.0,70554.0
33,1131.0,2250.0,1545.0,18328.0
34,2075.0,3863.0,2537.0,31405.0
35,3901.0,8792.0,5509.0,63978.0
36,17586.0,36297.0,21525.0,256071.0
37,22305.0,46477.0,28521.0,337880.0
38,2755.0,5589.0,3218.0,40036.0
39,13759.0,29011.0,17602.0,198620.0
40,36171.0,72947.0,43778.0,488103.0
41,726.0,1425.0,950.0,10759.0
42,2903.0,5489.0,3492.0,45307.0
43,620.0,1275.0,762.0,10150.0
44,977.0,1770.0,1157.0,16231.0
45,1322.0,2568.0,1591.0,20674.0
46,190.0,384.0,269.0,3157.0
47,1229.0,2956.0,1997.0,22566.0
48,713.0,1416.0,830.0,11535.0
49,1179.0,2341.0,1530.0,17980.0
50,331.0,724.0,436.0,4846.0
51,879.0,1921.0,1178.0,14141.0
52,925.0,1500.0,976.0,12842.0
53,33210.0,70782.0,47412.0,660569.0
54,11413.0,23694.0,13235.0,142315.0
55,22398.0,50179.0,32905.0,444503.0
56,1447.0,2892.0,1677.0,22530.0
57,2288.0,4515.0,2911.0,35055.0
58,660.0,1351.0,872.0,11662.0
59,632.0,1267.0,817.0,10581.0
60,9251.0,21235.0,13912.0,185361.0
61,8445.0,19954.0,13340.0,177983.0
62,23872.0,48041.0,28541.0,326527.0
63,6122.0,11854.0,7346.0,100964.0
64,5980.0,12839.0,8447.0,100400.0
65,126909.0,255997.0,151594.0,1837168.0
66,22362.0,50277.0,33067.0,460081.0
67,41904.0,88169.0,54517.0,756074.0
68,687.0,1580.0,997.0,11496.0
69,1593.0,3160.0,2104.0,27136.0
70,1137.0,2062.0,1419.0,17153.0
71,342.0,740.0,471.0,6170.0
72,2869.0,5285.0,3498.0,45191.0
73,1070.0,2097.0,1387.0,18106.0
74,2640.0,5322.0,3370.0,41418.0
75,40840.0,86952.0,54431.0,685644.0
76,6747.0,13946.0,8627.0,110111.0
77,1593.0,3110.0,1883.0,22653.0
78,716.0,1379.0,844.0,11253.0
79,20784.0,45478.0,29110.0,349401.0
80,2010.0,4131.0,2553.0,32973.0
81,4759.0,9691.0,6071.0,64761.0
82,4387.0,8952.0,5579.0,71002.0
83,38450.0,81098.0,49991.0,581484.0
84,1519.0,3434.0,2006.0,24616.0
85,486.0,1052.0,654.0,8444.0
86,40884.0,86264.0,50667.0,575758.0
87,14324.0,32500.0,22137.0,329517.0
88,1192.0,2650.0,1742.0,19888.0
89,5511.0,11948.0,7794.0,101483.0
90,3163.0,6630.0,4170.0,52366.0
91,6782.0,14827.0,9550.0,122011.0
92,2294.0,4825.0,2834.0,37499.0
93,2790.0,5511.0,3684.0,44594.0
94,535.0,958.0,509.0,7112.0
95,7039.0,13901.0,8779.0,114988.0
96,333.0,667.0,361.0,4615.0
97,28011.0,56426.0,34708.0,393614.0
98,2432.0,5130.0,3379.0,39224.0
99,8275.0,16371.0,9857.0,101994.0
100,813.0,1644.0,1038.0,16391.0
101,730.0,1590.0,873.0,12161.0
102,37944.0,80290.0,50346.0,631774.0
103,2813.0,5345.0,3440.0,39648.0
104,952.0,2006.0,1309.0,16491.0
105,1407.0,2644.0,1602.0,19735.0
106,1481.0,3094.0,1984.0,25619.0
107,905.0,1771.0,1122.0,13901.0
108,1155.0,2390.0,1530.0,21407.0
109,2206.0,4295.0,2821.0,35423.0
110,2546.0,5034.0,3215.0,39257.0
111,526.0,1090.0,726.0,9344.0
112,1698.0,3484.0,2156.0,26399.0
113,1695.0,3298.0,2122.0,26695.0
114,509.0,971.0,643.0,8918.0
115,9181.0,20217.0,12803.0,171099.0
116,13748.0,29632.0,20726.0,295978.0
117,19740.0,42047.0,25528.0,327650.0
118,10310.0,20262.0,12797.0,166657.0
119,4652.0,9412.0,5908.0,68353.0
120,7998.0,15893.0,9255.0,97929.0
121,795.0,1514.0,1070.0,11736.0
122,7793.0,16715.0,10558.0,144678.0
123,711.0,1287.0,889.0,10695.0
124,26174.0,58398.0,37885.0,446291.0
125,195.0,347.0,182.0,2528.0
126,785.0,1761.0,1025.0,14591.0
127,3261.0,6081.0,3791.0,49128.0
128,3469.0,7183.0,4607.0,61889.0
129,16852.0,37930.0,24896.0,362319.0
130,550.0,1121.0,702.0,9090.0
131,2212.0,4227.0,2761.0,35411.0
132,11956.0,25547.0,17663.0,280541.0
133,2094.0,4756.0,3255.0,37325.0
134,2087.0,4176.0,2767.0,32552.0
135,8101.0,17306.0,11143.0,131415.0
136,296.0,517.0,329.0,5087.0
137,201.0,376.0,278.0,3282.0
138,1253.0,2319.0,1707.0,19545.0
139,114.0,269.0,142.0,1822.0
140,2023.0,3972.0,2838.0,30353.0
141,1404.0,2537.0,1686.0,19471.0
142,11372.0,23010.0,14501.0,186466.0
143,334.0,577.0,402.0,4375.0
144,1001.0,1857.0,1145.0,14624.0
145,1910.0,3588.0,2384.0,26341.0
146,259.0,570.0,356.0,4696.0
147,802.0,1666.0,1116.0,12219.0
148,1767.0,3410.0,2186.0,26822.0
149,936.0,1694.0,1162.0,13317.0
150,1647.0,3161.0,2255.0,25254.0
151,2113.0,4416.0,2770.0,33951.0
152,4759.0,9617.0,5975.0,75462.0
153,85562.0,169476.0,106456.0,1498060.0
154,19539.0,39665.0,24613.0,294511.0
155,4613.0,8576.0,5373.0,64748.0
156,2356.0,4377.0,2856.0,36064.0
157,10056.0,19157.0,11456.0,152397.0
158,2565.0,4719.0,3236.0,36023.0
159,4515.0,8594.0,5280.0,68317.0
160,6292.0,12211.0,7608.0,107286.0
161,305.0,565.0,384.0,4855.0
162,308.0,541.0,398.0,5070.0
163,2343.0,4694.0,2924.0,37551.0
164,12228.0,25982.0,16548.0,219494.0
165,17647.0,32923.0,20150.0,277979.0
166,4281.0,7686.0,4647.0,58181.0
167,1054.0,2160.0,1383.0,15275.0
168,7193.0,13750.0,8663.0,113311.0
169,2709.0,5285.0,3305.0,42029.0
170,3883.0,7969.0,4900.0,62700.0
171,14326.0,27666.0,17996.0,228951.0
172,9595.0,19062.0,11150.0,139012.0
173,289.0,524.0,393.0,4381.0
174,7330.0,14444.0,8880.0,120207.0
175,1583.0,2987.0,1866.0,22473.0
176,976.0,1636.0,1037.0,14092.0
177,7130.0,13631.0,8675.0,113635.0
178,3604.0,6391.0,3639.0,44369.0
179,188.0,344.0,246.0,2808.0
180,28410.0,54558.0,33152.0,437446.0
181,2308.0,4204.0,2576.0,26270.0
182,3754.0,7104.0,4346.0,51489.0
183,1284.0,2331.0,1472.0,17948.0
184,2924.0,5547.0,3551.0,39168.0
185,724.0,1235.0,788.0,9051.0
186,1159.0,2182.0,1352.0,17016.0
187,7275.0,14489.0,9157.0,106223.0
188,930.0,1697.0,938.0,11946.0
189,3123.0,5571.0,3380.0,38767.0
190,3584.0,6393.0,3614.0,40406.0
191,814.0,1505.0,1036.0,11541.0
192,4049.0,7036.0,3868.0,49807.0
193,3347.0,6255.0,3686.0,45602.0
194,4403.0,8490.0,5343.0,56778.0
195,2225.0,4044.0,2594.0,29126.0
196,1304.0,2520.0,1423.0,19679.0
197,1505.0,2749.0,1750.0,21381.0
198,1252.0,2240.0,1401.0,15164.0
199,1042.0,2003.0,1209.0,12700.0
200,1782.0,3115.0,1945.0,22682.0
201,5739.0,10699.0,6350.0,71922.0
202,733.0,1440.0,935.0,10382.0
203,3352.0,5826.0,3803.0,37794.0
204,2095.0,3896.0,2304.0,28060.0
205,6995.0,13802.0,8717.0,101086.0
206,2560.0,4668.0,2661.0,34493.0
207,1898.0,3215.0,1939.0,23179.0
208,607.0,1033.0,619.0,8310.0
209,820.0,1453.0,871.0,10643.0
210,1171.0,1938.0,1194.0,12807.0
211,1036.0,2043.0,1226.0,15061.0
212,5610.0,10797.0,6215.0,68429.0
213,1922.0,3416.0,2344.0,21948.0
214,1044.0,1920.0,1109.0,13775.0
215,5368.0,9552.0,5668.0,65304.0
216,2193.0,3976.0,2248.0,26354.0
217,4846.0,8634.0,4936.0,59798.0
218,2454.0,4105.0,2556.0,30223.0
219,1740.0,3368.0,2171.0,21544.0
220,1116.0,2090.0,1252.0,13938.0
221,1087.0,2083.0,1022.0,14265.0
222,2601.0,4386.0,2914.0,32430.0
223,25756.0,51579.0,30260.0,413764.0
224,1391.0,2435.0,1392.0,16045.0
225,1454.0,2601.0,1558.0,18696.0
226,320.0,579.0,364.0,4051.0
227,2723.0,5121.0,3201.0,32606.0
228,6540.0,13815.0,8851.0,102806.0
229,1606.0,3632.0,2317.0,28099.0
230,13341.0,28534.0,17230.0,214829.0
231,136.0,260.0,134.0,1782.0
232,2822.0,6402.0,4018.0,49965.0
233,797.0,1597.0,1046.0,12505.0
234,63.0,128.0,88.0,1181.0
235,183.0,350.0,238.0,2862.0
236,53.0,85.0,49.0,744.0
237,107.0,221.0,117.0,1882.0
238,8394.0,17738.0,11382.0,144420.0
239,484.0,827.0,461.0,6347.0
240,1090.0,2249.0,1274.0,14477.0
241,361.0,857.0,462.0,5947.0
242,96.0,188.0,126.0,1608.0
243,4698.0,9304.0,5733.0,74890.0
244,14472.0,28339.0,16536.0,197603.0
245,3104.0,5959.0,3650.0,52312.0
246,5545.0,10657.0,6175.0,78264.0
247,2115.0,3841.0,2303.0,29436.0
248,1176.0,2287.0,1463.0,16717.0
249,3613.0,7275.0,4413.0,56796.0
250,7538.0,15617.0,9887.0,125176.0
251,1060.0,2001.0,1218.0,13984.0
252,5355.0,10288.0,6216.0,75271.0
253,2724.0,5371.0,3309.0,42954.0
254,22408.0,46347.0,28200.0,388716.0
255,1395.0,2835.0,1823.0,20786.0
256,1977.0,4101.0,2507.0,31091.0
